P1 - DS_WallThickness,P2 - DS_Width,P3 - DS_Height,P4 - DS_FloorThickness,P8 - DS_Length,P6 - Directional Deformation Maximum [m],P7 - Geometry Mass [kg]
0.05185459,1.11632762,0.1543079,0.11193365,11.02767989,3.19E-05,0.039573015
0.10155618,1.11632762,0.1543079,0.14505923,11.02767989,1.36E-05,0.066878561
0.05986301,1.11632762,0.1543079,0.06835919,11.02767989,2.65E-05,0.044633549
0.11012861,1.11632762,0.1543079,0.10412286,11.02767989,1.25E-05,0.070652008
0.09380765,1.11632762,0.1543079,0.13580304,11.02767989,1.49E-05,0.063241851
0.07154445,1.11632762,0.1543079,0.11447946,11.02767989,2.10E-05,0.051545427
0.1064765,1.11632762,0.1543079,0.09254819,11.02767989,1.29E-05,0.069076038
0.11818499,1.11632762,0.1543079,0.12643697,11.02767989,1.16E-05,0.073965739
0.12045869,1.11632762,0.1543079,0.05659698,11.02767989,1.14E-05,0.074861098
0.07973368,1.11632762,0.1543079,0.15234326,11.02767989,1.82E-05,0.05606822
0.09727376,1.11632762,0.1543079,0.08518271,11.02767989,1.43E-05,0.064895557
0.06574619,1.11632762,0.1543079,0.06025759,11.02767989,2.34E-05,0.04818327
0.0751042,0.90445963,0.46907407,0.13316074,19.36944582,6.51E-05,0.143656968
0.05357309,0.90445963,0.46907407,0.06246036,19.36944582,8.53E-05,0.106941071
0.08145425,0.90445963,0.46907407,0.15923177,19.36944582,6.12E-05,0.153833051
0.09699401,0.90445963,0.46907407,0.18704316,19.36944582,5.38E-05,0.177517077
0.06062577,0.90445963,0.46907407,0.08999701,19.36944582,7.71E-05,0.119348838
0.08670186,0.90445963,0.46907407,0.16193883,19.36944582,5.84E-05,0.162022928
0.10329152,0.90445963,0.46907407,0.05018587,19.36944582,5.15E-05,0.186631469
0.11200585,0.90445963,0.46907407,0.1442708,19.36944582,4.87E-05,0.198793144
0.07328228,0.90445963,0.46907407,0.10145074,19.36944582,6.63E-05,0.140683132
0.0916199,0.90445963,0.46907407,0.09171622,19.36944582,5.61E-05,0.169520054
0.12333449,0.90445963,0.46907407,0.11726619,19.36944582,4.58E-05,0.213835468
0.11807471,0.90445963,0.46907407,0.19732806,19.36944582,4.70E-05,0.206958286
0.1072879,0.90445963,0.46907407,0.12350892,19.36944582,5.01E-05,0.192273279
0.06783385,0.90445963,0.46907407,0.07342355,19.36944582,7.05E-05,0.131644523
0.05829915,0.90445963,0.46907407,0.1762605,19.36944582,7.96E-05,0.115297098
0.06115205,0.581174,0.13401801,0.08834709,23.39390176,0.000916235,0.051844738
0.08139688,0.581174,0.13401801,0.11898827,23.39390176,0.000766667,0.063493476
0.11008886,0.581174,0.13401801,0.05855063,23.39390176,0.000681383,0.075824317
0.08908804,0.581174,0.13401801,0.08183891,23.39390176,0.000734385,0.067263187
0.09129482,0.581174,0.13401801,0.07155869,23.39390176,0.000726651,0.068280489
0.10656055,0.581174,0.13401801,0.11221825,23.39390176,0.000687625,0.074557324
0.05442716,0.581174,0.13401801,0.05182496,23.39390176,0.001002816,0.047400099
0.07474497,0.581174,0.13401801,0.09976197,23.39390176,0.000803168,0.059946508
0.11569978,0.581174,0.13401801,0.06432573,23.39390176,0.000673135,0.07770198
0.09699399,0.581174,0.13401801,0.10714344,23.39390176,0.00070947,0.070777655
0.07926255,0.581174,0.13401801,0.12970903,23.39390176,0.000777397,0.062384701
0.10282814,0.581174,0.13401801,0.10365139,23.39390176,0.000695182,0.073143158
0.05860184,0.581174,0.13401801,0.07316098,23.39390176,0.000945885,0.050193823
0.06936223,0.581174,0.13401801,0.12757821,23.39390176,0.000840531,0.056877169
0.06407859,0.65452263,0.24928134,0.13420177,7.81536667,2.40E-05,0.029411581
0.10055547,0.65452263,0.24928134,0.19448224,7.81536667,1.51E-05,0.040528238
0.11456319,0.65452263,0.24928134,0.15368591,7.81536667,1.35E-05,0.043883989
0.09813834,0.65452263,0.24928134,0.09640039,7.81536667,1.55E-05,0.039900747
0.11639331,0.65452263,0.24928134,0.1482993,7.81536667,1.33E-05,0.044288164
0.08618639,0.65452263,0.24928134,0.11315604,7.81536667,1.76E-05,0.036578295
0.06591648,0.65452263,0.24928134,0.08413553,7.81536667,2.33E-05,0.030060425
0.07237476,0.65452263,0.24928134,0.05099085,7.81536667,2.11E-05,0.032262572
0.07532937,0.65452263,0.24928134,0.18982196,7.81536667,2.02E-05,0.033230281
0.05494558,0.65452263,0.24928134,0.16761762,7.81536667,2.83E-05,0.026037966
0.10929946,0.65452263,0.24928134,0.1264868,7.81536667,1.40E-05,0.042678062
0.08461022,0.65452263,0.24928134,0.07363356,7.81536667,1.79E-05,0.036112153
0.0575485,0.65452263,0.24928134,0.17828652,7.81536667,2.69E-05,0.027025084
0.12358788,0.65452263,0.24928134,0.10911479,7.81536667,1.27E-05,0.045803432
0.09243038,0.65452263,0.24928134,0.06812258,7.81536667,1.64E-05,0.038360228
0.08776158,0.86063373,0.10327993,0.05901173,9.11079764,2.02E-05,0.033267105
0.06361058,0.86063373,0.10327993,0.05083028,9.11079764,3.00E-05,0.026529969
0.07595002,0.86063373,0.10327993,0.05597383,9.11079764,2.38E-05,0.03017843
0.06933314,0.86063373,0.10327993,0.0785611,9.11079764,2.67E-05,0.028277021
0.07389419,0.86063373,0.10327993,0.06308182,9.11079764,2.46E-05,0.0296011
0.09269708,0.86063373,0.10327993,0.10255937,9.11079764,1.92E-05,0.034445721
0.05865661,0.86063373,0.10327993,0.08263368,9.11079764,3.37E-05,0.024938784
0.05375849,0.86063373,0.10327993,0.09541096,9.11079764,3.83E-05,0.023292098
0.09726723,0.86063373,0.10327993,0.08759006,9.11079764,1.85E-05,0.035480137
0.08248424,0.86063373,0.10327993,0.06743129,9.11079764,2.16E-05,0.031934554
0.11915397,1.42056189,0.5646326,0.15480501,21.55460467,2.00E-05,0.345079513
0.10636193,1.42056189,0.5646326,0.14904099,21.55460467,2.17E-05,0.314065209
0.11020764,1.42056189,0.5646326,0.11589471,21.55460467,2.12E-05,0.323533113
0.06015768,1.42056189,0.5646326,0.16566863,21.55460467,3.37E-05,0.190327135
0.06506861,1.42056189,0.5646326,0.05278053,21.55460467,3.16E-05,0.204375299
0.08798091,1.42056189,0.5646326,0.17963795,21.55460467,2.50E-05,0.267073726
0.08221005,1.42056189,0.5646326,0.06443508,21.55460467,2.63E-05,0.251718472
0.09176784,1.42056189,0.5646326,0.07379233,21.55460467,2.42E-05,0.276992581
0.12059399,1.42056189,0.5646326,0.10525746,21.55460467,1.99E-05,0.348485557
0.1037407,1.42056189,0.5646326,0.09236508,21.55460467,2.21E-05,0.307540371
0.05732862,1.42056189,0.5646326,0.1861866,21.55460467,3.50E-05,0.18213514
0.09831349,1.42056189,0.5646326,0.08684719,21.55460467,2.30E-05,0.293845313
0.07193615,1.42056189,0.5646326,0.13046176,21.55460467,2.92E-05,0.223656695
0.07528733,1.42056189,0.5646326,0.12108206,21.55460467,2.81E-05,0.232912651
0.08214631,1.00306048,0.29947592,0.07242969,16.12929453,4.09E-05,0.104521847
0.11867102,1.00306048,0.29947592,0.06429526,16.12929453,3.03E-05,0.138460272
0.11392575,1.00306048,0.29947592,0.15212963,16.12929453,3.12E-05,0.134447986
0.06936118,1.00306048,0.29947592,0.16981377,16.12929453,4.73E-05,0.090918258
0.06179514,1.00306048,0.29947592,0.08245776,16.12929453,5.24E-05,0.082426889
0.05667146,1.00306048,0.29947592,0.14842791,16.12929453,5.66E-05,0.076486609
